show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,is_emea,genres_list
s2219,TV Show,Norsemen,,"Kåre Conradi, Silje Torp, Nils Jørgen Kaalstad, Marian Saastad Ottesen, Trond Fausa, Kristine Riis, Jon Øigarden, Henrik Mestad, Øystein Martinsen, Mikkel Bratt Silset, Mads Jørgensen, Nikis Theophilakis",Norway,"July 22, 2020",2020,TV-MA,3 Seasons,"International TV Shows, TV Comedies","The residents of an 8th-century Viking village experience political rivalry, social change and innovations that upend their culture and way of life.",True,"['International TV Shows', 'TV Comedies']"
s2222,Movie,Jack Whitehall: I'm Only Joking,"Dave Skinner, Freddie Waters",Jack Whitehall,United Kingdom,"July 21, 2020",2020,TV-MA,58 min,Stand-Up Comedy,"Jack Whitehall hits the stage with hilarious tales about happy couples, life in hotels, human stupidity and his well-traveled father.",True,['Stand-Up Comedy']
s2224,TV Show,Killer Women with Piers Morgan,,Piers Morgan,United Kingdom,"July 19, 2020",2017,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Journalist Piers Morgan goes behind prison walls to speak with women convicted of shocking crimes, shedding light on what drove them to murder.",True,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
s2225,Movie,Funan,Denis Do,"Bérénice Bejo, Louis Garrel, Colette Kieffer, Aude-Laurence Clermont Biver, Brice Montagne, Franck Sasonoff, Hervé Sogne, Maxime Baudoin, Tom Trouffier, Lila Lacombe, Céline Ronté, Emilie Marié, Thierry Jahn","France, Belgium, Luxembourg, Cambodia,","July 18, 2020",2018,TV-14,87 min,"Dramas, International Movies","Separated from their young son during the brutal Khmer Rouge revolution, a couple must find ways to endure while searching for their child.",True,"['Dramas', 'International Movies']"
s2226,TV Show,Gigantosaurus,,,France,"July 18, 2020",2019,TV-Y,1 Season,Kids' TV,"Four prehistoric friends go on an array of adventures while trying to unravel a mystery about a big, fierce creature. Based on Jonny Duddle's book.",True,"[""Kids' TV""]"
s2228,TV Show,Cursed,,"Katherine Langford, Devon Terrell, Gustaf Skarsgård, Daniel Sharman, Sebastian Armesto, Lily Newmark, Shalom Brune-Franklin, Matt Stokoe, Bella Dayne, Peter Mullan, Emily Coates","United Kingdom, Australia","July 17, 2020",2020,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Armed with mysterious powers and a legendary sword, young rebel Nimue joins forces with charming mercenary Arthur on a mission to save her people.",True,"['TV Action & Adventure', 'TV Dramas', 'TV Sci-Fi & Fantasy']"
s2232,Movie,The Millions,"Toka McBaror, Tunde Apalowo","Ramsey Nouah, Blossom Chukwujekwu, Ayo Makun, Nancy Isime, Ali Nuhu, Folusho Durojaiye, Toyin Abraham, Chika Lann, Broda Shaggi, Etinosa Idemudia",Nigeria,"July 17, 2020",2019,TV-MA,95 min,"Comedies, International Movies","To pull off a massive heist, a charismatic con artist attempts to rob a fortified home with the help of a team he can't completely trust.",True,"['Comedies', 'International Movies']"
s2234,Movie,MILF,Axelle Laffont,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet, Waël Sersoub, Florence Thomassin","France, Belgium","July 16, 2020",2018,TV-MA,102 min,"Comedies, International Movies, Romantic Movies","In the south of France, three best friends in their 40s navigate loss and heartbreak while embarking on steamy affairs with much younger men.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
s2235,Movie,Cold Feet,Moses Inwang,"Jim Iyke, Joselyn Dumas, Enyinna Nwigwe, Beverly Naya, Femi Adebayo, Segun Arinze, Padita Agu",Nigeria,"July 15, 2020",2019,TV-14,98 min,"Dramas, International Movies, Romantic Movies","At a resort getaway, the fate of two couples collides when a wife unexpectedly runs into an old flame as he hesitates to propose to his girlfriend.",True,"['Dramas', 'International Movies', 'Romantic Movies']"
s2240,Movie,Sylvia,Daniel Oriahi,"Chris Attoh, Zainab Balogun, Ini Dima-Okojie, Udoka Onyeka, Lord Frank, Bolaji Ogunmola, Ijeoma Grace Agu, Omotunde Adebowale David",Nigeria,"July 15, 2020",2018,TV-14,104 min,"Dramas, International Movies, Thrillers","When a man outgrows a childhood friendship and commits to marrying his girlfriend, obsession and spiritual warfare soon disrupt his peaceful life.",True,"['Dramas', 'International Movies', 'Thrillers']"
s2241,Movie,The Players,Stefano Mordini,"Valerio Mastandrea, Riccardo Scamarcio, Laura Chiatti, Valentina Cervi, Marina Foïs, Euridice Axen, Massimiliano Gallo, Alessia Giuliani",Italy,"July 15, 2020",2020,TV-MA,89 min,"Comedies, International Movies","From campy lies to sexy surprises, this collection of vignettes captures the follies of several men as they fumble with fidelity and relationships.",True,"['Comedies', 'International Movies']"
s2244,Movie,We Are One,Stéphane de Freitas,,France,"July 14, 2020",2020,TV-MA,86 min,"Documentaries, International Movies, Music & Musicals","Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video ""Solidarité.""",True,"['Documentaries', 'International Movies', 'Music & Musicals']"
s2245,Movie,Hole in the Wall,"André Odendaal, Johan Vorster","André Odendaal, Nicholas Campbell, Tinarie van Wyk Loots, Bheki Mkwane, Susan Coetzer, Botho Molohloane, Anna Davel, Nomboniso Paile, Dania Gelderblom, Hamish Kyd",South Africa,"July 11, 2020",2016,TV-MA,104 min,"Dramas, International Movies","Diagnosed with colon cancer, a free-spirited man embarks on an illuminating road trip with his son through South Africa.",True,"['Dramas', 'International Movies']"
s2248,Movie,Mama's Boy,Amro Salah,"Hesham Maged, Shikoo, Mohammed Tharwat, Mahmoud Ellisy, Ahmed Sultan, Noor Kadri",Egypt,"July 10, 2020",2018,TV-14,101 min,"Comedies, International Movies",A man undergoes a heart transplant following a serious injury and begins to take on some of the donor's motherly characteristics.,True,"['Comedies', 'International Movies']"
s2252,TV Show,The Twelve,Wouter Bouvijn,"Maaike Neuville, Charlotte De Bruyne, Tom Vermeir, Mieke De Groote, Johan Heldenbergh, Zouzou Ben Chikha, Peter Gorissen, Piet De Praitere, Maaike Cafmeyer, Josse De Pauw, Greet Verstraete, Koen De Sutter, Isabelle Van Hecke, Lynn Van Royen",Belgium,"July 10, 2020",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Twelve jurors — ordinary people with struggles of their own — must decide the case of a woman accused of killing her best friend and her own daughter.,True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s2255,TV Show,The Protector,,"Çağatay Ulusoy, Ayça Ayşin Turan, Hazar Ergüçlü, Okan Yalabık, Mehmet Kurtuluş, Yurdaer Okur",Turkey,"July 9, 2020",2020,TV-MA,4 Seasons,"International TV Shows, Romantic TV Shows, TV Action & Adventure","Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",True,"['International TV Shows', 'Romantic TV Shows', 'TV Action & Adventure']"
s2294,TV Show,Cable Girls,,"Blanca Suárez, Nadia de Santiago, Ana Fernández, Maggie Civantos, Ana Polvorosa, Yon González, Martiño Rivas, Nico Romero, Borja Luna, Sergio Mur, Concha Velasco, Antonio Velázquez, Ernesto Alterio, Ira del Río, Angela Cremonte, Andrea Carballo",Spain,"July 3, 2020",2019,TV-MA,6 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace.",True,"['International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows']"
s2296,Movie,Hunter in the Blue Side of Manchester,Rako Prijanto,"Adipati Dolken, Ganindra Bimo, Donny Alamsyah, Vonny Cornellya, Tania Staite, Maurice Bryrne, Kevin Bzezovski Taroreh","Indonesia, United Kingdom","July 3, 2020",2020,TV-MA,89 min,"Dramas, International Movies","To honor his father, a diligent college graduate takes on the daunting goal of becoming a reporter for an English Premier League soccer club.",True,"['Dramas', 'International Movies']"
s2297,Movie,I Am Not Your Negro,Raoul Peck,"Samuel L. Jackson, Joey Starr","Switzerland, France, Belgium, United States","July 3, 2020",2017,PG-13,94 min,Documentaries,"Based on James Baldwin's unfinished book, this visual essay explores racism through the stories of Medgar Evers, Malcolm X and Martin Luther King Jr.",True,['Documentaries']
s2301,Movie,The Perfect Picture: Ten Years Later,Shirley Frimpong-Manso,"Jackie Appiah, Naa Ashorkor Mensa-Doku, Lydia Forson, Adjetey Anang, Richard Mofe-Damijo, Chris Attoh, Gideon Okeke, Joselyn Dumas, John Dumelo, Beverly Naya",Ghana,"July 3, 2020",2019,TV-MA,148 min,"Comedies, Dramas, International Movies","From flawed husbands to shaky finances, new complications test a close circle of friends who must lean on each other in a new decade of their lives.",True,"['Comedies', 'Dramas', 'International Movies']"
s2305,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,"July 1, 2020",2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",True,"['Documentaries', 'International Movies']"
s2306,TV Show,21 Again,,Laura Morgan,United Kingdom,"July 1, 2020",2019,TV-MA,1 Season,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",True,"['British TV Shows', 'Reality TV']"
s2309,Movie,Adú,Salvador Calvo,"Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas",Spain,"July 1, 2020",2020,TV-MA,120 min,"Dramas, International Movies","Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",True,"['Dramas', 'International Movies']"
s2310,Movie,Ali Baba ve 7 Cüceler,Cem Yılmaz,"Cem Yılmaz, Irina Ivkina, Çetin Altay, Zafer Algöz, Can Yılmaz, Bahtiyar Engin, Fevzi Gökçe, Yosi Mizrahi",Turkey,"July 1, 2020",2015,TV-MA,115 min,"Action & Adventure, Comedies, International Movies","A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss.",True,"['Action & Adventure', 'Comedies', 'International Movies']"
s2317,Movie,The Silence of Others,"Almudena Carracedo, Robert Bahar",,"Spain, France, Canada, United States","July 1, 2020",2019,TV-14,96 min,"Documentaries, International Movies","Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice.",True,"['Documentaries', 'International Movies']"
s2320,Movie,Under the Riccione Sun,Younuts!,"Cristiano Caccamo, Lorenzo Zurzolo, Ludovica Martino, Davide Calgaro, Matteo Oscar Giuggioli, Saul Nanni, Fotinì Peluso, Claudia Tranchese, Isabella Ferrari, Luca Ward, Andrea Roncato, Giulia Schiavo, Maria Luisa De Crescenzo, Sergio Ruggeri, Rosanna Sapia, Tommaso Paradiso",Italy,"July 1, 2020",2020,TV-MA,102 min,"Comedies, International Movies, Romantic Movies","While vacationing on the beaches of Riccione, a group of teens become friends and help each other manage romantic relationships and summer crushes.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
s2323,TV Show,Homemade,,,"Chile, Italy","June 30, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas","Acclaimed filmmakers from around the world channel their creativity during COVID-19 isolation with this diverse, genre-spanning collection of short films.",True,"['International TV Shows', 'TV Dramas']"
s2326,Movie,Skin,Daniel Effiong,Beverly Naya,Nigeria,"June 28, 2020",2019,TV-MA,76 min,"Documentaries, International Movies","On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.",True,"['Documentaries', 'International Movies']"
s2328,TV Show,Dark,,"Louis Hofmann, Oliver Masucci, Jördis Triebel, Maja Schöne, Karoline Eichhorn, Sebastian Rudolph, Anatole Taubman, Mark Waschke, Stephan Kampwirth, Anne Ratte-Polle, Andreas Pietschmann, Lisa Vicari, Michael Mendl, Angela Winkler","Germany, United States","June 27, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s2333,Movie,Kasanova,Oluseyi Asurf,"Wale Ojo, Ireti Doyle, Alvin Abayomi, Toyin Abraham, Ruby Akubueze, Chimezie Imo, Tomiwa Tegbe",Nigeria,"June 26, 2020",2019,TV-14,117 min,"Comedies, International Movies, Romantic Movies","After losing his wife, a single father indulges in flimsy flings until he meets his son's music teacher, who imparts a few lessons on love.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
s2344,TV Show,Crazy Delicious,,"Jayde Adams, Carla Hall, Heston Blumenthal, Niklas Ekstedt",United Kingdom,"June 24, 2020",2020,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV","In this competition show, daring home chefs tempt the food gods with reinvented classics and fanciful feasts in their quest to win a golden apple.",True,"['British TV Shows', 'International TV Shows', 'Reality TV']"
s2349,Movie,The Royal Hibiscus Hotel,Ishaya Bako,"Zainab Balogun, Kenneth Okolie, Deyemi Okanlawon, Joke Silva, Olu Jacobs, Jide Kosoko, Rachel Oniga, Kemi Lala Akindoju, Ini Dima-Okojie, Toni Tones",Nigeria,"June 22, 2020",2017,TV-PG,90 min,"Comedies, International Movies, Romantic Movies",A disenchanted chef tries to help her parents restore their failing hotel but cooks up feelings for an investor with his sights set on the property.,True,"['Comedies', 'International Movies', 'Romantic Movies']"
s2352,Movie,Elevator Baby,Akhigbe Ilozobhie,"Toyin Abraham, Timini Egbuson, Shaffy Bello, Yemi Solade, Broda Shaggi, Sambasa Nzeribe, Ijeoma Aniebo, Blessing Onwukwe",Nigeria,"June 20, 2020",2019,TV-MA,84 min,"Dramas, International Movies","A chance encounter brings a brash, wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",True,"['Dramas', 'International Movies']"
s2359,Movie,Lost Bullet,Guillaume Pierret,"Alban Lenoir, Nicolas Duvauchelle, Ramzy Bedia, Stéfi Celma, Rod Paradot, Sébastien Lalanne, Pascale Arbillot, Arthur Aspaturian, Patrick Médioni",France,"June 19, 2020",2020,TV-MA,93 min,"Action & Adventure, Dramas, International Movies","Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet.",True,"['Action & Adventure', 'Dramas', 'International Movies']"
s2361,Movie,One-Way to Tomorrow,Ozan Açıktan,"Dilan Çiçek Deniz, Metin Akdülger",Turkey,"June 19, 2020",2020,TV-MA,90 min,"Dramas, International Movies, Romantic Movies","Two strangers cross paths on a train en route to Izmir, bonding over their turbulent — and unexpectedly intertwined — romantic pasts.",True,"['Dramas', 'International Movies', 'Romantic Movies']"
s2364,Movie,Wasp Network,Olivier Assayas,"Penélope Cruz, Edgar Ramírez, Wagner Moura, Gael García Bernal, Ana de Armas, Leonardo Sbaraglia","France, Brazil, Spain, Belgium","June 19, 2020",2020,TV-MA,128 min,"Dramas, International Movies, Thrillers","Based on a true and gripping story: Cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island, but at a high personal cost.",True,"['Dramas', 'International Movies', 'Thrillers']"
s2380,Movie,An Evening with Beverly Luff Linn,Jim Hosking,"Aubrey Plaza, Emile Hirsch, Jemaine Clement, Craig Robinson, Matt Berry, Zach Cherry, Maria Bamford, Michael D. Cohen, Sky Elobar, Jacob Wysocki, John Kerry, Bettina Devin, Gil Gex","United Kingdom, United States","June 17, 2020",2018,R,108 min,"Comedies, Independent Movies","When an unhappily married woman discovers a man from her past has a role in a local theater production, she'll do anything to reconnect with him.",True,"['Comedies', 'Independent Movies']"
s2385,Movie,The Show Must Go On: The Queen + Adam Lambert Story,,"Adam Lambert, Brian May, Roger Taylor","United Kingdom, United States","June 15, 2020",2019,TV-MA,85 min,"Documentaries, Music & Musicals","With rare footage and candid interviews, this documentary details the serendipitous pairing of legendary rock band Queen and powerhouse Adam Lambert.",True,"['Documentaries', 'Music & Musicals']"
s2388,Movie,4th Republic,Ishaya Bako,"Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",Nigeria,"June 13, 2020",2019,TV-MA,120 min,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",True,"['Dramas', 'International Movies', 'Thrillers']"
s2396,TV Show,F is for Family,,"Bill Burr, Laura Dern, Justin Long, Debi Derryberry, Sam Rockwell","United States, France, Canada","June 12, 2020",2020,TV-MA,4 Seasons,TV Comedies,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",True,['TV Comedies']
s2397,TV Show,Frank Elstner: Just One Last Question,,"Klaas Heufer-Umlauf, Joko Winterscheidt, Lena Meyer-Landrut, Charlotte Roche, Daniel Brühl, Frank Elstner",Germany,"June 12, 2020",2020,TV-MA,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows","In his farewell show, legendary German host Frank Elstner digs deep and savors his discussions with stars such as Daniel Brühl and Lena Meyer-Landrut.",True,"['International TV Shows', 'Stand-Up Comedy & Talk Shows']"
s2402,TV Show,The Woods,,"Grzegorz Damięcki, Agnieszka Grochowska, Hubert Miłkowski, Wiktoria Filus, Jacek Koman, Krzysztof Zarzecki, Ewa Skibińska, Martyna Byczkowska, Roman Gancarczyk, Adam Wietrzyński","Poland, United States","June 12, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Evidence found on the body of a homicide victim sparks hope in a prosecutor that his sister who disappeared 25 years earlier could still be alive.,True,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
s2405,TV Show,Curon,,"Valeria Bilello, Luca Lionello, Federico Russo, Margherita Morchio, Anna Ferzetti, Alessandro Tedeschi, Juju Di Domenico, Giulio Brizzi, Max Malatesta",Italy,"June 10, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror","After 17 years, a woman returns home with her teenage twins. When she mysteriously vanishes, her children must reckon with a shadowy family legacy.",True,"['International TV Shows', 'TV Dramas', 'TV Horror']"
s2413,Movie,365 Days,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski",Poland,"June 7, 2020",2020,TV-MA,114 min,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",True,"['Dramas', 'International Movies', 'Romantic Movies']"
s2416,TV Show,Queen of the South,,"Alice Braga, Veronica Falcón, Justina Machado, Peter Gadiot, Hemky Madera, Gerardo Taracena","United States, Mexico, Spain, Malta","June 6, 2020",2018,TV-MA,4 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas","Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive.",True,"['Crime TV Shows', 'TV Action & Adventure', 'TV Dramas']"
s2419,Movie,Before the Summer Crowds,Mohamed Khan,"Maged El Kedwany, Hana Shiha, Ahmed Dawood, Lana Mushtak, Hany El Metennawy",Egypt,"June 5, 2020",2016,TV-14,86 min,"Dramas, International Movies","Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday.",True,"['Dramas', 'International Movies']"
s2422,Movie,Merry Men 2: Another Mission,Moses Inwang,"Ramsey Nouah, Ayo Makun, Jim Iyke, Falz, Uchemba Williams, Ireti Doyle, Ufuoma McDermott, Nancy Isime, Alex Asogwa",Nigeria,"June 5, 2020",2019,TV-MA,115 min,"Comedies, International Movies","To save a kidnapped loved one, a pack of wealthy men must return to their vigilante past when they are blackmailed to pull off a treacherous heist.",True,"['Comedies', 'International Movies']"
s2428,Movie,Hot Sweet Sour,Andaç Haznedaroğlu,"Buğra Gülsoy, Özge Özpirinçci, Yusuf Akgün, Füsun Demirel, Gözde Türkpençe, Osman Alkaş, Rahmi Dilligil, Somer Karvan",Turkey,"June 4, 2020",2017,TV-14,102 min,"Dramas, International Movies, Romantic Movies","In love since childhood, a couple separates to pursue different paths but makes a pact to marry each other in five years if they are still single.",True,"['Dramas', 'International Movies', 'Romantic Movies']"
s2429,Movie,Overnight Republic,Murat Kepez,"Çağlar Çorumlu, Büşra Pekin, Ersin Korkut, Gülhan Tekin, Mahir İpek, Uğur Bilgin, Öner Ateş, Hakan Ummak, Patrycja Widlak, Hamza Yazıcı",Turkey,"June 4, 2020",2017,TV-MA,105 min,"Comedies, International Movies","A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.",True,"['Comedies', 'International Movies']"
s2444,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,"June 1, 2020",2019,TV-MA,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",True,"['Horror Movies', 'International Movies']"
s2447,Movie,Cook Off,Tomas Brickhill,"Tendaiishe Chitima, Tendai Nguni, Jesese Mungoshi, Eddie Sandifolo, Charmaine Mujeri, Kudzai Sevenzo, Fungai Majaya, Eugene Zimbudzi, Chimwemwe Chipidza, Kevin Hanssen, Zihlo, Michael Kudakwashe",Zimbabwe,"June 1, 2020",2017,TV-G,100 min,"Comedies, International Movies, Romantic Movies","Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
s2449,Movie,Kalek Shanab,Hani Al-Shaibani,"Saad Abdullah, Mohamed Alkendi, Ammar Rahma, Maria Khan, Msabeh Bin Hashim, Hani Abd Al Ghani, Zayed Mohammed Mahmoud, Khaled Abdullah",United Arab Emirates,"June 1, 2020",2019,TV-PG,80 min,"Comedies, International Movies","After a wild night of partying on the town, three buddies wake up to discover they've caused a whole mess of trouble — but can't remember how.",True,"['Comedies', 'International Movies']"
s2456,Movie,The Stolen,Niall Johnson,"Alice Eve, Jack Davenport, Graham McTavish, Stan Walker, Richard O'Brien, Cohen Holloway, Stig Eldred, Emily Corcoran, Gillian MacGregor, Mikaela Ruegg","United Kingdom, Germany, United Arab Emirates, New Zealand","June 1, 2020",2016,TV-14,98 min,Dramas,A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.,True,['Dramas']
s2457,Movie,High Strung Free Dance,Michael Damian,"Juliet Doherty, Thomas Doherty, Jane Seymour, Harry Jarvis, Joshua Sinclair-Evans, Ace Bhatti, Desmond Richardson, Kika Markham","Romania, United States","May 31, 2020",2019,TV-14,104 min,"Dramas, Music & Musicals, Romantic Movies",A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.,True,"['Dramas', 'Music & Musicals', 'Romantic Movies']"
s2458,Movie,Freej Al Taibeen,Ahmed Zain,"Ali Al Shehhi, Huda Al Ghanim, Muhammed Murshed, Yaser Alneyadi, Khaled Al-Nuaimi, Nasser Al-Dhahnani, Nawal Chamoun, Iman Husein",United Arab Emirates,"May 29, 2020",2018,TV-PG,99 min,"Comedies, Dramas, International Movies","Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.",True,"['Comedies', 'Dramas', 'International Movies']"
s2462,TV Show,"Can't Cope, Won't Cope",,"Seána Kerslake, Nika McGuigan, Sheila Moylette, Muiris Crowley, Steve Blount, Amy Huberman, Laurence O'Fuarain, Seán Óg Cairns, Hannah Sheehan, Peter Campion",Ireland,"May 28, 2020",2018,TV-MA,2 Seasons,"TV Comedies, TV Dramas","In Dublin, friends Aisling and Danielle must come to terms with adulthood when their millennial hijinks and hangovers begin to wear off.",True,"['TV Comedies', 'TV Dramas']"
s2465,Movie,Grandmother's Farm Part 2,Ahmed Zein,"Mansour Al Felei, Saeed Al-Sheryani, Yaser Alneyadi, Khaled Al-Nuaimi, Abdullah Al Hamiri, Abdullah Al-Ramsi, Salama Almazrouei, Am Rashed, Aisha Al Suwaidi, Muhammed Murshed",United Arab Emirates,"May 28, 2020",2015,TV-14,80 min,"Comedies, Horror Movies, International Movies","After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah — and right into more terror.",True,"['Comedies', 'Horror Movies', 'International Movies']"
s2477,TV Show,History 101,,,United Kingdom,"May 22, 2020",2020,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",True,"['British TV Shows', 'Docuseries', 'International TV Shows']"
s2478,Movie,Living in Bondage: Breaking Free,Ramsey Nouah,"Swanky JKA, Kenneth Okonkwo, Ramsey Nouah, Enyinna Nwigwe, Nancy Isime, Shawn Faqua, Munachi Abii, Zulu Adigwe",Nigeria,"May 22, 2020",2019,TV-MA,149 min,"Horror Movies, International Movies, Thrillers","Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult.",True,"['Horror Movies', 'International Movies', 'Thrillers']"
s2514,Movie,Light in the Dark,Ekene Som Mekwunye,"Rita Dominic, Joke Silva, Ngozi Nwosu, Kiki Omeili, Kalu Ikeagwu, Emmanuel Essien, Saidi Balogun",Nigeria,"May 18, 2020",2019,TV-14,105 min,"Dramas, International Movies",A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds.,True,"['Dramas', 'International Movies']"
s2515,TV Show,The Big Flower Fight,,"Natasia Demetriou, Vic Reeves, Kristen Griffith-Vanderyacht",United Kingdom,"May 18, 2020",2020,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV","Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.",True,"['British TV Shows', 'International TV Shows', 'Reality TV']"
s2517,Movie,The End,Mohammed Alhmly,"Mohamed El Hemaly, Abdulla Al-khudr, Ghadeer Zayid, Heba El Dorry, Abdulaziz Al-mesallam, Meshal Al-farhan, Meshal Al-Mujibel, Ibrahim Al-Sheikhly, Souad al-Husseini, Soliman Elyassin",Kuwait,"May 17, 2020",2019,TV-MA,97 min,"Action & Adventure, Comedies, International Movies","A wrongly accused man is pursued by a dogged investigator in this action-comedy featuring car chases, dark humor and more than a few vampires.",True,"['Action & Adventure', 'Comedies', 'International Movies']"
s2521,Movie,Heaven Without People,Lucien Bourjeily,"Farah Shaer, Jean Paul Hage, Samira Sarkis, Jenny Gebara, Laeticia Semaan, Nadim Abou Samra, Hussein Hijazi, Ghassan Chemali",Lebanon,"May 15, 2020",2017,TV-MA,91 min,"Dramas, International Movies","From long resentments to deep secrets, an overdue family reunion erupts with drama when the matriarch makes a disturbing discovery.",True,"['Dramas', 'International Movies']"
s2522,Movie,"I love you, stupid",Laura Mañá,"Quim Gutiérrez, Natalia Tena, Alfonso Bassave, Alba Ribas, Patricia Vico, Ernesto Alterio",Spain,"May 15, 2020",2019,TV-MA,88 min,"Comedies, International Movies, Romantic Movies","After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru.",True,"['Comedies', 'International Movies', 'Romantic Movies']"
